词目,tw,ch,en
不相符,不相符的證據,不相符的证据,inconsistent evidence
不相称,不相稱的懲罰,不相称的惩罚,disproportionate punishment
不轨,無不軌意圖,无不轨意图,innocent belief
不容,已裁決的問題不容推翻的原則,已裁决的问题不容推翻的原则,doctrine of issue estoppel
,不容,不容,not amenable to
,不容爭辯的證據,不容争辩的证据,indisputable evidence
不能,不能共存,不能共存,mutually exclusive
,不能認出被告人,不能认出被告人,negative identification
,不能認出嫌疑人,不能认出嫌疑人,negative identification
,不能避免的推論,不能避免的推论,unavoidable inference
不问,“法律不問瑣事”的原則,“法律不问琐事”的原则,de minimis principle
不得,不得……接納為證據,不得……接纳为证据,inadmissible as evidence
不符,證據前後不符,证据前后不符,discrepancy in evidence
不当,負刑責的不當行為,负刑责的不当行为,culpable misconduct
,程序上不當之處,程序上不当之处,procedural irregularity
,構成罪行的不當行為,构成罪行的不当行为,culpable misconduct
,藉公職作出不當行為,藉公职作出不当行为,misconduct in public office
不诚实,不誠實地意圖導致他人蒙受損失,不诚实地意图导致他人蒙受损失,dishonest intent to cause loss to another
,有犯罪或不誠實意圖,有犯罪或不诚实意图,criminal or dishonest intent
,有犯罪或不誠實意圖而取用電腦,有犯罪或不诚实意图而取用电脑,access to computer with criminal or dishonest intent
不道德,經營不道德場所,经营不道德场所,keeping a disorderly house
不认罪,不認罪,不认罪,reversal of plea
,不認罪的答辯,不认罪的答辩,plea of not guilty
不检,侮辱或不檢的行為,侮辱或不检的行为,insulting or disorderly conduct
不获,不獲接納,不获接纳,inadmissible
不稳妥,並不穩妥或並不令人滿意,并不稳妥或并不令人满意,unsafe or unsatisfactory
不证自明,不證自明,不证自明,res ipsa loquitur
中心,勞敎中心,劳敎中心,detention centre
中立,中立的旁觀者,中立的旁观者,neutral observer
,司法中立,司法中立,judicial neutrality
中级,中級上訴,中级上诉,intermediate appeal
,審理上訴的中級法院,审理上诉的中级法院,intermediate appellate court
中期,中期上訴,中期上诉,intermediate appeal
中断,中斷的審訊,中断的审讯,aborted trial
互助,司法互助,司法互助,mutual judicial assistance
互相,互相矛盾的事實陳述,互相矛盾的事实陈述,contradictory statements of fact
,互相矛盾的裁決,互相矛盾的裁决,inconsistent verdicts
介入,介入者,介入者,intervener
介入者,介入者,介入者,intervener
元素,犯罪元素,犯罪元素,ingredient of offence
,罪行的……元素,罪行的……元素,element of the offence
内在,內在或然率,内在或然率,inherent probabilities
内容,令人反感的內容,令人反感的内容,offending material
内庭,內庭聆訊,内庭聆讯,hearing in chambers
公平,全面和公平的審訊,全面和公平的审讯,full and fair trial
公正,公正公開的聆訊,公正公开的聆讯,fair and public hearing
,公正恰當的判刑,公正恰当的判刑,just and proper sentence
,公正無私的旁觀者,公正无私的旁观者,impartial observer
,公正審判的權利,公正审判的权利,right to a fair trial
,企圖妨礙司法公正,企图妨碍司法公正,attempt to pervert the course of public justice
,串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
,串謀妨礙司法公正,串谋妨碍司法公正,conspiracy to pervert the course of justice
,作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
,為了司法公正,为了司法公正,in the interests of justice
,獨立而公正的證人,独立而公正的证人,independent and impartial witness
公事,公事保密,公事保密,official secrecy
公众,公眾衞生或道德,公众卫生或道德,public health or morals
,串謀敗壞公眾道德,串谋败坏公众道德,conspiracy to corrupt public morals
,對公眾良知的公然冒犯,对公众良知的公然冒犯,affront to the public conscience
,對公眾的妨擾,对公众的妨扰,public nuisance
公然,公然違反,公然违反,flagrant breach
,對公眾良知的公然冒犯,对公众良知的公然冒犯,affront to the public conscience
公诉,公訴提控,公诉提控,arraignment
公诉,公訴,公诉,indictment
,可公訴罪行,可公诉罪行,indictable offence
,循公訴程序,循公诉程序,on indictment
,循公訴程序,循公诉程序,upon indictment
公诉书,多條罪名的公訴書,多条罪名的公诉书,multi-count indictment
公开,公正公開的聆訊,公正公开的聆讯,fair and public hearing
,公開的作為,公开的作为,overt act
公义,公義必須實踐，並且彰顯人前,公义必须实践，并且彰显人前,"justice must not only be done, but manifestly be seen to be done"
,執行公義,执行公义,administration of justice
,執行公義，不忘寬大,执行公义，不忘宽大,temper justice with mercy
,執行公義必須彰顯於人前,执行公义必须彰显于人前,justice is done and is seen to be done
公德,串謀作出有違公德的行為,串谋作出有违公德的行为,conspiracy to outrage public decency
,作出有違公德的行為,作出有违公德的行为,commit an act outraging public decency
公愤,所犯罪行惹起公憤,所犯罪行惹起公愤,public abhorrence of the crime committed
公职,公職人員行為失當,公职人员行为失当,misconduct in public office
,藉公職作出不當行為,藉公职作出不当行为,misconduct in public office
分成,分成多宗案件處理,分成多宗案件处理,sever
分享,分享訴訟成果,分享诉讼成果,champerty
分歧,分歧的解決方法,分歧的解决方法,resolution of differences
分期,分期執行的刑期,分期执行的刑期,consecutive sentence
,分期執行的監禁刑期,分期执行的监禁刑期,consecutive sentences of imprisonment
,部分分期執行的刑期,部分分期执行的刑期,partially consecutive sentences
分量,充分的分量,充分的分量,sufficient weight
,給予……證據分量,给予……证据分量,attach weight to ... evidence
,給予……證據分量,给予……证据分量,give weight to ... evidence
,證據分量,证据分量,weight of evidence
化验,法證科學專家/法證化驗師,法证科学专家/法证化验师,forensic scientist
反向,反向的舉證責任,反向的举证责任,reverse burden
反感,令人反感的內容,令人反感的内容,offending material
反对,反對陪審員人選,反对陪审员人选,challenge of jurors
,基於錯誤理解而提出的反對,基于错误理解而提出的反对,objection misconceived
反驳,反駁,反驳,disprove
,反駁,反驳,rebut
,反駁,反驳,refute
,反駁的責任,反驳的责任,burden of rebuttal
,在反駁時,在反驳时,in rebuttal
反证,反證,反证,disproving
及早,及早認罪,及早认罪,early plea
及时,及時認罪,及时认罪,timely plea
引出,引出……證據,引出……证据,elicit evidence
引用,引用,引用,invoke
,錯誤引用法律,错误引用法律,misapplication of law
引渡,引渡,引渡,extradition
引导,引導性問題,引导性问题,leading question
,自我引導,自我引导,self-direction
心理,心理專家報告,心理专家报告,psychologist's report
心境,心境,心境,state of mind
手法,犯罪手法,犯罪手法,modus operandi
,行事手法,行事手法,modus operandi
手段,串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
,恐嚇手段,恐吓手段,intimidation
,欺騙手段,欺骗手段,deception
手续,列隊認人手續,列队认人手续,identification parades
支持,用以支持的證據,用以支持的证据,supporting evidence
,沒有支持的證據,没有支持的证据,unsupported evidence
文件,文件及資料的披露,文件及资料的披露,discovery
,用以恢復記憶的文件,用以恢复记忆的文件,document used ... to refresh ... memory
,申請查閱對方準備呈堂的文件及證物表,申请查阅对方准备呈堂的文件及证物表,discovery
,提點記憶的文件,提点记忆的文件,document used ... to refresh ... memory
文件册,上訴文件冊,上诉文件册,appeal bundles
方式,以案件呈述方式上訴,以案件呈述方式上诉,appeal by way of case stated
,以案件呈述方式提出的法律問題,以案件呈述方式提出的法律问题,case stated question
,可行和可供考慮的判罰方式,可行和可供考虑的判罚方式,feasible sentencing option
方法,分歧的解決方法,分歧的解决方法,resolution of differences
,判罰處理方法,判罚处理方法,sentencing approach
日期,申請編定審訊日期,申请编定审讯日期,application to fix a date for trial
欠妥,欠妥的告發書,欠妥的告发书,defective information
,欠妥的控罪書,欠妥的控罪书,defective charge
欠缺,明顯欠缺論據的陳詞,明显欠缺论据的陈词,patently unarguable submission
比重,比重的問題,比重的问题,matter of weight
,給予過份比重,给予过份比重,attach too much weight
父母,代替其父母地位的人,代替其父母地位的人,other person standing in loco parentis to him
主犯,主犯,主犯,primary offender
主旨,判詞主旨,判词主旨,ratio decidendi
主事者,主事者,主事者,person who may have power to take appropriate action
主要,主要典據,主要典据,leading authority
,主要的成因,主要的成因,operative cause
,主要案例,主要案例,leading case
,主要陳詞,主要陈词,principal submission
,審訊時的主要爭論點,审讯时的主要争论点,central issue at trial
主动,主動,主动,on ... own motion
主问,主問證供,主问证供,evidence in chief
主义,機會主義的爆竊者,机会主义的爆窃者,opportunistic burglar
主审,主審法院,主审法院,court of trial
,單獨主審的法官,单独主审的法官,single judge
主谋,主謀,主谋,mastermind
主体,主體法例,主体法例,primary legislation
主观,主觀的認知,主观的认知,subjective knowledge
,主觀的檢驗標準,主观的检验标准,subjective test
付款,頒令付款,颁令付款,order for payment of money
他人,不誠實地意圖導致他人蒙受損失,不诚实地意图导致他人蒙受损失,dishonest intent to cause loss to another
,以威脅促致他人作非法的性行為,以威胁促致他人作非法的性行为,procurement by threats
,以虛假藉口促致他人作非法的性行為,以虚假借口促致他人作非法的性行为,procurement by false pretences
,傳喚他人作證,传唤他人作证,call and give evidence
代表,代表性的控罪,代表性的控罪,sample charge
,無律師代表[親自應訊],无律师代表[亲自应讯],in person
,撤銷由律師代表,撤销由律师代表,dismissal of counsel
代理人,代理人,代理人,agent
代替,代替其父母地位的人,代替其父母地位的人,other person standing in loco parentis to him
以外,在法院以外作出的陳述,在法院以外作出的陈述,out-of-court statement
,法庭以外陳述,法庭以外陈述,extra-judicial statement
,訴訟以外一方,诉讼以外一方,outside party
以致,不幸以致死亡,不幸以致死亡,misadventure
出席,各方出席的聆訊,各方出席的聆讯,inter-partes hearing
出庭,不出庭,不出庭,non-appearance
,出庭,出庭,appearance
,傳召證人出庭令,传召证人出庭令,subpoenas
加入,法官加入控辯雙方的訟辯,法官加入控辩双方的讼辩,judge entering the arena
,法官加入戰團,法官加入战团,judge entering the arena
加重,加重刑罰,加重刑罚,enhanced sentence
,加重刑罰因素,加重刑罚因素,aggravating factor
,加重刑罰因素,加重刑罚因素,aggravating feature
包含,控罪不得包含多項罪行的原則,控罪不得包含多项罪行的原则,rule against duplicity
可予强迫,可予強迫的證人,可予强迫的证人,compellable witness
可行,可行和可供考慮的判罰方式,可行和可供考虑的判罚方式,feasible sentencing option
,可行的判刑選擇,可行的判刑选择,viable sentencing option
可信,可信程度的指引,可信程度的指引,credibility direction
,證人的可信程度,证人的可信程度,credibility of witness
可能性,干犯罪行的可能性,干犯罪行的可能性,probability to commit crime
,在相對可能性下,在相对可能性下,balance of probabilities
,相對可能性,相对可能性,balance of probabilities
,相對可能性的衡量,相对可能性的衡量,balance of probabilities
可靠,誠實可靠的證人,诚实可靠的证人,truthful and reliable witness
司法,司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
,司法中立,司法中立,judicial neutrality
,司法互助,司法互助,mutual judicial assistance
,司法酌情權,司法酌情权,judicial discretion
,司法評論,司法评论,judicial comment
,司法解釋,司法解释,judicial interpretation
,司法認知,司法认知,judicial knowledge
,申請司法覆核的許可,申请司法复核的许可,application for leave to apply for judicial review
,相互提供司法協助,相互提供司法协助,mutual judicial assistance
,對訟式刑事司法體系,对讼式刑事司法体系,adversarial system of criminal justice
,對辯式訴訟的司法制度,对辩式诉讼的司法制度,adversarial system of justice
,濫用司法程序,滥用司法程序,abuse of process
,類似司法的職能,类似司法的职能,quasi-judicial function
司法,司法過程,司法过程,in the course of justice
,企圖妨礙司法公正,企图妨碍司法公正,attempt to pervert the course of public justice
,刑事司法體系,刑事司法体系,criminal justice system
,有防止犯罪作用的司法措施,有防止犯罪作用的司法措施,preventive justice
,串謀作出傾向並意圖妨礙司法公正的作為,串谋作出倾向并意图妨碍司法公正的作为,conspiracy to do an act or acts tending and intended to pervert the course of public justice
,串謀妨礙司法公正,串谋妨碍司法公正,conspiracy to pervert the course of justice
,作出傾向並意圖妨礙司法公正的作為,作出倾向并意图妨碍司法公正的作为,doing an act tending and intended to pervert the course of public justice
,為了司法公正,为了司法公正,in the interests of justice
司法管辖,司法管轄權限,司法管辖权限,jurisdictional limit
司法管辖权,司法管轄權的爭論點,司法管辖权的争论点,issue of jurisdiction
,固有司法管轄權,固有司法管辖权,inherent jurisdiction
,境外司法管轄權,境外司法管辖权,extra-territorial jurisdiction
,簡易司法管轄權,简易司法管辖权,summary jurisdiction
司机,司機的謹慎和審慎程度,司机的谨慎和审慎程度,care and prudence of driver
囚禁,單獨囚禁,单独囚禁,solitary confinement
外聘,外聘律師,外聘律师,counsel on fiat
失效,使……失效,使……失效,invalidate
,使同意失效,使同意失效,vitiation of consent
失常,性格失常,性格失常,disorder ... of personality
,精神失常的狀態,精神失常的状态,disordered state of mind
失当,公職人員行為失當,公职人员行为失当,misconduct in public office
,失當行為,失当行为,misconduct
,失當行為,失当行为,misfeasance
,履責失當,履责失当,misfeasance in the performance of a duty
失实,具欺詐成分的失實陳述,具欺诈成分的失实陈述,fraudulent misrepresentation
失职,失職程度,失职程度,degree of incompetence
,明顯失職行為,明显失职行为,flagrant and incompetent conduct
,明顯地失職,明显地失职,flagrantly incompetent
,明顯辯護失職的評定標準,明显辩护失职的评定标准,test of flagrantly incompetent advocacy
,律師失職,律师失职,incompetence of counsel
平等,平等,平等,parity
必要,加以必要的變通,加以必要的变通,mutatis mutandis
,必要和相稱,必要和相称,necessity and proportionality
必然,就幾乎必然發生的情況給予指引,就几乎必然发生的情况给予指引,virtual certainty direction
扒窃,扒竊,扒窃,pickpocketing
未有,未有披露,未有披露,non-disclosure
未经,未經使用的材料,未经使用的材料,unused material
,未經宣誓所作的證言,未经宣誓所作的证言,unsworn testimony
,未經彙報案例,未经汇报案例,unreported case
,在未經宣誓下所提供的證據,在未经宣誓下所提供的证据,unsworn evidence
,在未經宣誓的情況下……證據,在未经宣誓的情况下……证据,unsworn evidence
,兒童在未經宣誓下所作的證供,儿童在未经宣誓下所作的证供,unsworn testimony of child
,親口所述的未經證實之言,亲口所述的未经证实之言,ipse dixit
正式,正式承認有罪,正式承认有罪,formal admission of guilt
,正式的申請,正式的申请,substantive application
,正式聆訊[相對程序上的爭議],正式聆讯[相对程序上的争议],substantive hearing
正面,正面的良好品格,正面的良好品格,positive good character
正常,思想正常的人,思想正常的人,right-minded person
,理智及思想正常的人,理智及思想正常的人,sensible and right-minded people
正当,正當法律程序,正当法律程序,due process of law
,阻撓在正當執行職務的……警務人員,阻挠在正当执行职务的……警务人员,obstructs ... police officer in the due execution of his duty
,程序上的不正當行為,程序上的不正当行为,procedural impropriety
正义,自然正義法則,自然正义法则,rules of natural justice
正确,思想正確的人,思想正确的人,right-thinking person
,辨認的正確性,辨认的正确性,correctness of identification
永久,永久擱置法律程序,永久搁置法律程序,permanent stay of proceedings
犯人栏,庭上辨認犯人欄內的被告,庭上辨认犯人栏内的被告,dock identification
,辨認在犯人欄內的被告,辨认在犯人栏内的被告,dock identification
犯案,夥同犯案,伙同犯案,joint enterprise
犯罪,不在犯罪現場,不在犯罪现场,alibi
,不在犯罪現場的證據,不在犯罪现场的证据,alibi evidence
,不在犯罪現場的通知,不在犯罪现场的通知,notice of alibi
,以不在犯罪現場為辯護,以不在犯罪现场为辩护,defence of alibi
,以不在犯罪現場為辯護理由,以不在犯罪现场为辩护理由,defence of alibi
,犯罪元素,犯罪元素,ingredient of offence
,犯罪手法,犯罪手法,modus operandi
,犯罪行為,犯罪行为,actus reus
,犯罪行動,犯罪行动,criminal enterprise
,犯罪的精神上行為能力,犯罪的精神上行为能力,mental capacity to commit offence
,犯罪紀錄,犯罪纪录,previous convictions
,犯罪要件,犯罪要件,ingredient of offence
,犯罪計劃,犯罪计划,criminal enterprise
,犯罪得益,犯罪得益,criminal gains
,犯罪傾向,犯罪倾向,propensity to commit crime
,犯罪傾向指引,犯罪倾向指引,propensity direction
,犯罪意念,犯罪意念,guilty mind
,犯罪意念,犯罪意念,mens rea
,犯罪意圖,犯罪意图,criminal intent
,犯罪意圖,犯罪意图,guilty intent
,犯罪意圖,犯罪意图,mens rea
,犯罪意識,犯罪意识,guilty knowledge
,犯罪意識,犯罪意识,guilty mind
,犯罪獲益,犯罪获益,criminal gains
,共同犯罪,共同犯罪,joint enterprise
,有犯罪或不誠實意圖,有犯罪或不诚实意图,criminal or dishonest intent
,有犯罪或不誠實意圖而取用電腦,有犯罪或不诚实意图而取用电脑,access to computer with criminal or dishonest intent
,有防止犯罪作用的司法措施,有防止犯罪作用的司法措施,preventive justice
,有能力犯罪,有能力犯罪,doli capax
,知悉犯罪的推論,知悉犯罪的推论,inference of guilty knowledge
