词目,tw,ch,en
案例,一系列相關的案例,一系列相关的案例,line of authorities
,主要案例,主要案例,leading case
,未經彙報案例,未经汇报案例,unreported case
,案例,案例,case law
,案例一覽表,案例一览表,list of authorities
,案例不獲認同,案例不获认同,case disapproved
,案例被推翻,案例被推翻,case reversed
,案例須予區分,案例须予区分,case distinguished
,案例須予遵循,案例须予遵循,case followed
,案例匯編,案例汇编,law reports
,案例彙編,案例汇编,reported judgment
,案例遭否決,案例遭否决,case reversed
,案例獲得確認,案例获得确认,case affirmed
,援引案例,援引案例,citation of case
案情,已獲證實的案情,已获证实的案情,proven facts
,沒有爭議的案情,没有争议的案情,facts not in dispute
,沒有爭議的案情,没有争议的案情,undisputed facts
,案情摘要,案情摘要,brief facts
,案情撮要,案情撮要,summary of facts
,辯方案情,辩方案情,defence case
案发,在案發期間,在案发期间,at all material times
,於案發後不久被發現管有贓物的法律原則,于案发后不久被发现管有赃物的法律原则,doctrine of recent possession
,案發現場,案发现场,locus in quo
根据,不根據前提的推論,不根据前提的推论,non sequitur
,無根據的問題,无根据的问题,fishing expedition
流产,串謀促致流產,串谋促致流产,conspiracy to procure a miscarriage
流通,交付偽製流通紙幣,交付伪制流通纸币,deliver counterfeit currency notes
涉嫌,涉嫌罪責的證據,涉嫌罪责的证据,inculpatory evidence
特别,一般及特別信託,一般及特别信讬,general and specific trust
,[案件的]特別爭論點,[案件的]特别争论点,special issue
特定,特定犯罪意圖,特定犯罪意图,specific intent
,特定意圖,特定意图,specific intent
特殊,特殊權力,特殊权力,extraordinary power
特级,特級線人,特级线人,supergrass
,特級證人,特级证人,supergrass
特赦,特赦證人,特赦证人,immunised witness
特权,免導致自己或配偶入罪的特權,免导致自己或配偶入罪的特权,privilege against incrimination of self or spouse
,享有特權和備受信任的地位,享有特权和备受信任的地位,privileged and trusted position
,普通法特權,普通法特权,common law privilege
真正,真正相信,真正相信,true belief
,真正風險,真正风险,real risk
真诚,真誠,真诚,bona fide
,真誠地相信,真诚地相信,honest belief
真实,全面而真實地披露,全面而真实地披露,full and true disclosure
,真實、重大而迫切的危險,真实、重大而迫切的危险,"real, substantial and imminent danger"
破产令,刑事破產令,刑事破产令,criminal bankruptcy order
破坏,破壞誠信,破坏诚信,breach of trust
,破壞誠信的行為,破坏诚信的行为,act in breach of trust
秩序,作出……擾亂秩序的行為,作出……扰乱秩序的行为,behaves in a ... disorderly manner
,擾亂秩序的行為,扰乱秩序的行为,disorderly conduct
秘密,秘密行動,秘密行动,covert operation
紊乱,精神紊亂的人,精神紊乱的人,mentally disordered person
纯粹,純粹管有,纯粹管有,simple possession
级别,最低判刑級別,最低判刑级别,lowest band
,量刑級別,量刑级别,sentencing band
级数,罰款級數,罚款级数,level of fines
纸币,交付偽製流通紙幣,交付伪制流通纸币,deliver counterfeit currency notes
缺乏,缺乏理據,缺乏理据,without merit
,缺乏理據的上訴,缺乏理据的上诉,unmeritorious appeal
能力,有能力犯罪,有能力犯罪,doli capax
被告,同案被告,同案被告,co-accused
,庭上辨認犯人欄內的被告,庭上辨认犯人栏内的被告,dock identification
,推論被告有罪,推论被告有罪,inference of guilt
,就被告辯稱不在犯罪現場所作的指引,就被告辩称不在犯罪现场所作的指引,alibi direction
,辨認在犯人欄內的被告,辨认在犯人栏内的被告,dock identification
被告人,不能認出被告人,不能认出被告人,negative identification
,同案被告人,同案被告人,co-defendant
,判被告人繳付的訟費,判被告人缴付的讼费,costs awarded against the defendant
,被告人,被告人,defendant
,就被告人的品格作出全面指引,就被告人的品格作出全面指引,full character direction
被控人,同案被控人,同案被控人,co-accused
,同案被控人一同判刑,同案被控人一同判刑,simultaneous sentencing of co-accused
记忆,用以恢復記憶的文件,用以恢复记忆的文件,document used ... to refresh ... memory
,提點記憶的文件,提点记忆的文件,document used ... to refresh ... memory
,證人記憶,证人记忆,recollection of witness
讯问,訊問證人,讯问证人,examination of witnesses
讯问员,訊問員,讯问员,examiner
财物,防干擾財物封套,防干扰财物封套,tamper evident property envelope
,歸還財物令,归还财物令,order for the restitution of property
财务,財務權益,财务权益,financial interests
财产,危害……財產,危害……财产,endanger ... property
,沒收財產聆訊,没收财产聆讯,forfeiture hearing
,復還財產的命令,复还财产的命令,order for the restitution of property
,棄置財產,弃置财产,abandoned property
,摧毀或損壞財產,摧毁或损坏财产,destroy or damage property
起诉,不提證據起訴,不提证据起诉,offer no evidence
,免予起訴,免予起诉,immunity from prosecution
,免予起訴書,免予起诉书,immunity
,獲免予起訴的從犯,获免予起诉的从犯,accomplice with immunity
,獲免予起訴的證人,获免予起诉的证人,immunised witness
起点,刑期起點,刑期起点,starting point of sentence
,判刑起點,判刑起点,starting point
,量刑起點,量刑起点,starting point of sentence
,適當的量刑起點,适当的量刑起点,appropriate starting point
,整體量刑起點,整体量刑起点,global starting point
,總體量刑起點,总体量刑起点,overall starting point of sentence
送交,將案由述要送交存檔,将案由述要送交存档,file a case
退庭,陪審團退庭商議,陪审团退庭商议,jury retirement
逃犯,逃犯,逃犯,fugitive offender
逃脱,企圖從合法羈押逃脫,企图从合法羁押逃脱,attempt to escape from lawful custody
,從合法羈押逃脫,从合法羁押逃脱,escape from lawful custody
追溯,追溯入罪,追溯入罪,retrospective incrimination
追溯力,新訂罪行不具追溯力的原則,新订罪行不具追溯力的原则,rule against retrospective incrimination
配偶,免導致自己或配偶入罪的特權,免导致自己或配偶入罪的特权,privilege against incrimination of self or spouse
酌情,行政酌情決定,行政酌情决定,executive discretion
,酌情決定,酌情决定,discretion
,酌情性終身監禁刑罰,酌情性终身监禁刑罚,discretionary life sentence
酌情权,司法酌情權,司法酌情权,judicial discretion
,酌情權,酌情权,discretion
,絕對的酌情權,绝对的酌情权,unfettered discretion
,豁除證據的剩餘酌情權,豁除证据的剩余酌情权,residual discretion to exclude evidence
针对,不針對……舉出證據,不针对……举出证据,offer no evidence against ...
,針對……命令提出上訴,针对……命令提出上诉,appeal against ... order
,針對刑罰的上訴,针对刑罚的上诉,appeal against sentence
,針對定罪的上訴,针对定罪的上诉,appeal against conviction
闪避,閃避的證人,闪避的证人,evasive witness
除弊,除弊規則,除弊规则,mischief rule
,補缺除弊的原則,补缺除弊的原则,remedial construction
高度,具高度證案價值的證據,具高度证案价值的证据,highly probative evidence
伪制,交付偽製流通紙幣,交付伪制流通纸币,deliver counterfeit currency notes
停牌,停牌期,停牌期,period of suspension
偏见,不存偏見且得到妥善指引的陪審團,不存偏见且得到妥善指引的陪审团,unprejudiced jury properly directed
,不自覺的偏見,不自觉的偏见,unconscious bias
,造成偏見的影響,造成偏见的影响,prejudicial effect
,造成偏見的資料,造成偏见的资料,prejudicial material
偏离,偏離……指引,偏离……指引,departure from the guideline
,偏離指引行事,偏离指引行事,departure from the guideline
,偏離慣常減刑,偏离惯常减刑,departure from customary discount
假定,從事實上作一個可推翻的假定,从事实上作一个可推翻的假定,rebuttable presumption of facts
假释,假釋,假释,parole
做法,已為人接受的通常做法,已为人接受的通常做法,accepted norm
侦讯,書面偵訊,书面侦讯,paper committal
兜揽,兜攬,兜揽,touting
动机,清白動機,清白动机,innocent motive
动议,動議通知書,动议通知书,notice of motion
区分,案例須予區分,案例须予区分,case distinguished
参考,品格證明的參考資料,品格证明的参考资料,character reference
参与,參與……的資格,参与……的资格,locus standi
,參與的程度,参与的程度,degree of involvement
,普通法的次級參與原則,普通法的次级参与原则,common law doctrine of secondary participation
商讨,答辯商討,答辩商讨,plea bargaining
商业,商業性質的販毒,商业性质的贩毒,commercial trafficking
商议,陪審團退庭商議,陪审团退庭商议,jury retirement
问题,已裁決的問題不容推翻的原則,已裁决的问题不容推翻的原则,doctrine of issue estoppel
,引導性問題,引导性问题,leading question
,比重的問題,比重的问题,matter of weight
,以案件呈述方式提出的法律問題,以案件呈述方式提出的法律问题,case stated question
,向證人提出……問題,向证人提出……问题,put ... questions to the witness
,呈述的法律問題,呈述的法律问题,stated question of law
,技術性問題,技术性问题,technicality
,把法律問題提交上訴法庭考慮,把法律问题提交上诉法庭考虑,reserve question of law for consideration of Court of Appeal
,把法律問題提交上訴法庭裁決,把法律问题提交上诉法庭裁决,reserve question of law for consideration of Court of Appeal
,定罪是否恰當問題,定罪是否恰当问题,propriety of conviction
,保留法律問題待上訴法庭考慮,保留法律问题待上诉法庭考虑,reserve question of law for consideration of Court of Appeal
,無根據的問題,无根据的问题,fishing expedition
,無基礎的試探性問題,无基础的试探性问题,fishing expedition
,當前爭議問題,当前争议问题,live issue
,誘導性問題,诱导性问题,leading question
,撤回問題,撤回问题,withdraw the question
,壓迫性的問題,压迫性的问题,oppressive question
,獲法院證明的問題,获法院证明的问题,certified question
,證據的可接納性問題,证据的可接纳性问题,matter of admissibility
唯一,不可推翻的唯一推論,不可推翻的唯一推论,the only irrebuttable inference
,唯一犯罪者,唯一犯罪者,sole perpetrator
,唯一合理推斷,唯一合理推断,the only reasonable inference
圈套,圈套,圈套,entrapment
,設圈套,设圈套,entrap
培训,司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
基本,基本的判刑基準,基本的判刑基准,basic tariff in sentencing
基准,按彌償基準計算的訟費,按弥偿基准计算的讼费,costs on an indemnity basis
,基本的判刑基準,基本的判刑基准,basic tariff in sentencing
,將……的判刑與……的量刑基準掛鈎,将……的判刑与……的量刑基准挂钩,sentence for ... be pegged to tariffs for ...
,量刑基準,量刑基准,sentencing tariff
,適當的刑期基準,适当的刑期基准,appropriate starting point
基础,案件的基礎事實,案件的基础事实,primary facts of the case
,基礎事實,基础事实,primary facts
,無基礎的試探性問題,无基础的试探性问题,fishing expedition
,量刑基礎,量刑基础,basis for sentencing
执行,分期執行的刑期,分期执行的刑期,consecutive sentence
,分期執行的監禁刑期,分期执行的监禁刑期,consecutive sentences of imprisonment
,同期執行的刑期,同期执行的刑期,concurrent sentence
,同期執行的命令,同期执行的命令,concurrent order
,阻撓在正當執行職務的……警務人員,阻挠在正当执行职务的……警务人员,obstructs ... police officer in the due execution of his duty
,執行公義,执行公义,administration of justice
,執行公義，不忘寬大,执行公义，不忘宽大,temper justice with mercy
,執行公義必須彰顯於人前,执行公义必须彰显于人前,justice is done and is seen to be done
,執行緩刑,执行缓刑,activate a suspended sentence
,執行緩刑令,执行缓刑令,order to activate a suspended sentence
,部分分期執行的刑期,部分分期执行的刑期,partially consecutive sentences
,暫緩執行刑罰令,暂缓执行刑罚令,order of suspended sentence
专有,專有審判權,专有审判权,exclusive jurisdiction
专家,心理專家報告,心理专家报告,psychologist's report
,字跡鑑證專家,字迹鉴证专家,handwriting expert
,法證科學專家/法證化驗師,法证科学专家/法证化验师,forensic scientist
,筆跡鑑證專家,笔迹鉴证专家,handwriting expert
专责,判刑前評估專責小組,判刑前评估专责小组,pre-sentence assessment panel
专业,專業裁判官,专业裁判官,professional magistrate
带走,串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
,強行帶走,强行带走,forcible taking
带家,帶家,带家,courier
带货,帶貨人,带货人,courier
常规,常規規則,常规规则,rule of practice
,常規與程序,常规与程序,practice and procedure
康复,康復令,康复令,rehabilitative order
,康復服務,康复服务,rehabilitation
康复令,康復令,康复令,rehabilitative order
强而有力,強而有力的證據,强而有力的证据,cogent evidence
强行,串謀將人強行帶走或禁錮而意圖取得贖金,串谋将人强行带走或禁锢而意图取得赎金,conspiracy to forcibly take away or detain a person with intent to procure a ransom
,串謀強行禁錮,串谋强行禁锢,conspiracy to commit forcible detention
,強行干預訴訟,强行干预诉讼,maintenance
,強行帶走,强行带走,forcible taking
强制,強制性刑罰,强制性刑罚,mandatory penalty
,強制性終身監禁刑罰,强制性终身监禁刑罚,mandatory life sentence
强迫,不可被強迫作證,不可被强迫作证,not compellable to give evidence
强调,劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis added
,劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis supplied
,劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis added
,劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis supplied
得到,所得到的最好的證據,所得到的最好的证据,best evidence available
得直,上訴得直,上诉得直,appeal allowed
得益,犯罪得益,犯罪得益,criminal gains
从犯,從犯,从犯,accessories
,從犯,从犯,accomplice
,從犯,从犯,secondary offender
,從犯法律責任,从犯法律责任,accessorial liability
,從犯證人,从犯证人,accomplice witness
,從犯證據,从犯证据,accomplice evidence
,獲免予起訴的從犯,获免予起诉的从犯,accomplice with immunity
情况,可使罪責減輕的……的情況,可使罪责减轻的……的情况,extenuating circumstances
,在未經宣誓的情況下……證據,在未经宣誓的情况下……证据,unsworn evidence
,例外情況,例外情况,exceptional circumstances
,就幾乎必然發生的情況給予指引,就几乎必然发生的情况给予指引,virtual certainty direction
,極有需要的情況,极有需要的情况,compelling circumstances
,實質及嚴重的不公平情況,实质及严重的不公平情况,substantial and grave injustice
情理,合乎情理的判刑政策,合乎情理的判刑政策,sensible sentencing policy
情节,事實情節複雜,事实情节复杂,factual complexity
控方,要求控方全面證案,要求控方全面证案,put the prosecution to straight proof
,要求控方證案,要求控方证案,put the prosecution to proof
,控方的證據,控方的证据,prosecution evidence
,控方律師,控方律师,prosecuting counsel
,控方重開案件提證,控方重开案件提证,re-open the prosecution case
,控方結案,控方结案,close of prosecution case
,控方開審陳詞,控方开审陈词,prosecution opening
,貶損……控方證人的品格,贬损……控方证人的品格,imputations on the character of ... the witnesses for the prosecution
,舉證責任在於控方,举证责任在于控方,burden on prosecution
控制,實質控制,实质控制,physical control
控罪,代表性的控罪,代表性的控罪,sample charge
,交替控罪,交替控罪,alternative charge
,共同控罪,共同控罪,joint charge
,合併控罪,合并控罪,joinder of charges
,多項控罪,多项控罪,multiple offences
,多項罪行的控罪,多项罪行的控罪,duplicity of charge
,否認控罪,否认控罪,plea of not guilty
,承認控罪,承认控罪,plea of guilty
,修訂……控罪,修订……控罪,amend ... charge
,控罪,控罪,charges
,控罪不得包含多項罪行的原則,控罪不得包含多项罪行的原则,rule against duplicity
,控罪範本,控罪范本,specimen charge
,較輕微的交替控罪,较轻微的交替控罪,lesser alternative
,駁回控罪,驳回控罪,dismiss the charge
,撤回控罪,撤回控罪,withdraw the charge
,撤銷控罪,撤销控罪,dismiss the charge
,擬定控罪,拟定控罪,framing of charge
控罪书,欠妥的控罪書,欠妥的控罪书,defective charge
,再修訂的控罪書,再修订的控罪书,re-amended charge sheet
,合併控罪書,合并控罪书,consolidated charge sheet
,經修訂的控罪書,经修订的控罪书,amended charge sheet
控辩,法官加入控辯雙方的訟辯,法官加入控辩双方的讼辩,judge entering the arena
接受,接受教化,接受教化,reformative treatment
接纳,不得……接納為證據,不得……接纳为证据,inadmissible as evidence
,不獲接納,不获接纳,inadmissible
,招認的可接納性,招认的可接纳性,admissibility of confession
,招認是否可接納為證據,招认是否可接纳为证据,admissibility of confession
,接納為證據,接纳为证据,admitted in evidence
,證據的可接納性問題,证据的可接纳性问题,matter of admissibility
接触,瞬間的接觸,瞬间的接触,fleeting encounter
措施,有防止犯罪作用的司法措施,有防止犯罪作用的司法措施,preventive justice
挂钩,將……的判刑與……的量刑基準掛鈎,将……的判刑与……的量刑基准挂钩,sentence for ... be pegged to tariffs for ...
排除,排除(證據)規則,排除(证据)规则,exclusionary rule
,排除傳聞證據的原則,排除传闻证据的原则,rule against hearsay
排期,排期,排期,listing
,排期,排期,set down
推定,不可推翻……的推定,不可推翻……的推定,presumption ... conclusive
,可被推翻的推定,可被推翻的推定,rebuttable presumption
,有力……的推定,有力……的推定,strong ... presumption
,有關管有和知悉的推定,有关管有和知悉的推定,presumption relating to possession and knowledge
,法定推定,法定推定,statutory presumption
,法律推定,法律推定,legal presumption
,法律推定,法律推定,presumption of law
,法律推定的條文,法律推定的条文,presumption provision
,推定條文,推定条文,deeming provision
,推定管有,推定管有,constructive possession
,推翻推定,推翻推定,displace presumption
,管有及知悉……的推定,管有及知悉……的推定,presumption of possession and knowledge of ...
推论,不可抗拒之推論,不可抗拒之推论,irresistible inference
,不可推翻的唯一推論,不可推翻的唯一推论,the only irrebuttable inference
,不可推翻的推論,不可推翻的推论,irrebuttable inference
,不根據前提的推論,不根据前提的推论,non sequitur
,不能避免的推論,不能避免的推论,unavoidable inference
,有罪的推論,有罪的推论,inference of guilt
,事實的推論,事实的推论,inference of fact
,知悉犯罪的推論,知悉犯罪的推论,inference of guilty knowledge
,推論,推论,inference
,推論被告有罪,推论被告有罪,inference of guilt
,推論證據,推论证据,inferential evidence
推断,合理推斷,合理推断,reasonable inference
,唯一合理推斷,唯一合理推断,the only reasonable inference
,推斷,推断,inference
,無可抗拒的推斷,无可抗拒的推断,irresistible inference
推翻,已裁決的問題不容推翻的原則,已裁决的问题不容推翻的原则,doctrine of issue estoppel
,可被推翻的推定,可被推翻的推定,rebuttable presumption
,案例被推翻,案例被推翻,case reversed
,從事實上作一個可推翻的假定,从事实上作一个可推翻的假定,rebuttable presumption of facts
,推翻……命令,推翻……命令,quash ... order
,推翻……裁決,推翻……裁决,reverse...verdict
,推翻推定,推翻推定,displace presumption
,推翻認罪,推翻认罪,reverse guilty plea
,推翻認罪的申請,推翻认罪的申请,application for reversing the guilty plea
采取,可具有採取適當行動的權力的人,可具有采取适当行动的权力的人,person who may have power to take appropriate action
,有權採取適當行動的人,有权采取适当行动的人,person who may have power to take appropriate action
采纳,質疑供詞的採納性的權利,质疑供词的采纳性的权利,right to challenge admissibility
教化,接受教化,接受教化,reformative treatment
教唆,協助及教唆,协助及教唆,aiding and abetting
教导所,教導所,教导所,training centre
,教導所令,教导所令,training centre order
教导所令,教導所令,教导所令,training centre order
败坏,串謀敗壞公眾道德,串谋败坏公众道德,conspiracy to corrupt public morals
斜体,劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis added
,劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis supplied
,劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis added
,劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis supplied
条文,刑罰條文,刑罚条文,penal provision
,法例條文,法例条文,statutory provision
,法律推定的條文,法律推定的条文,presumption provision
,倒轉舉證責任的條文,倒转举证责任的条文,reverse-onus provision
,推定條文,推定条文,deeming provision
,過渡性的條文,过渡性的条文,transitional provision
,懲罰性條文嚴格釋義,惩罚性条文严格释义,strict interpretation of penal provision
条件,感化令的規定及條件,感化令的规定及条件,requirements and conditions of the probation order
,違反保釋條件,违反保释条件,breach of bail condition
,違反逗留條件,违反逗留条件,breach of condition of stay
条例,條例的釋疑,条例的释疑,construction of ordinances
条款,保釋條款,保释条款,terms of bail
清白,清白動機,清白动机,innocent motive
,清白理由,清白理由,innocent reason
,清白解釋,清白解释,innocent explanation
清醒,清醒及合理的人,清醒及合理的人,sober and reasonable people
混合,混合口供,混合口供,mixed statement
,混合供詞,混合供词,mixed statement
,混合書面供詞,混合书面供词,mixed deposition
,混合藥物,混合药物,cocktail drug
牵连,牽連罪責的招認,牵连罪责的招认,incriminating admission
,牽連罪責的證據,牵连罪责的证据,inculpatory evidence
,牽連罪責部分,牵连罪责部分,incriminating part
猖獗,猖獗程度,猖獗程度,prevalence
理由,不可信的辯護理由,不可信的辩护理由,incredible defence
,以不在犯罪現場為辯護理由,以不在犯罪现场为辩护理由,defence of alibi
,好的及充分的理由,好的及充分的理由,good and sufficient reason
,有充分理由的抱怨,有充分理由的抱怨,justifiable sense of grievance
,有合理理由感到受屈,有合理理由感到受屈,legitimate sense of grievance
,有合理理由相信,有合理理由相信,reasonable belief
,判予無罪的理由,判予无罪的理由,reasons for acquittal
,完備上訴理由,完备上诉理由,perfected grounds of appeal
,完備上訴理由書,完备上诉理由书,perfected grounds of appeal
,具體理由,具体理由,positive reason
,法定的免責辯護理由,法定的免责辩护理由,statutory defence
,宣布判決……的理由,宣布判决……的理由,handing down reasons for judgment
,清白理由,清白理由,innocent reason
,理由陳述書,理由陈述书,statement of reasons
,無辜理由,无辜理由,innocent reason
,裁決理由,裁决理由,reasons for ... verdict
,辯方理由,辩方理由,defence
理智,理智及思想正常的人,理智及思想正常的人,sensible and right-minded people
,喪失理智,丧失理智,defect of reason
理解,基於錯誤理解而提出的反對,基于错误理解而提出的反对,objection misconceived
理据,上訴理據,上诉理据,merits of appeal
,有理據的申請,有理据的申请,meritorious application
,缺乏理據,缺乏理据,without merit
,缺乏理據的上訴,缺乏理据的上诉,unmeritorious appeal
现场,不在犯罪現場,不在犯罪现场,alibi
,不在犯罪現場的證據,不在犯罪现场的证据,alibi evidence
,不在犯罪現場的通知,不在犯罪现场的通知,notice of alibi
,以不在犯罪現場為辯護,以不在犯罪现场为辩护,defence of alibi
,以不在犯罪現場為辯護理由,以不在犯罪现场为辩护理由,defence of alibi
,就被告辯稱不在犯罪現場所作的指引,就被告辩称不在犯罪现场所作的指引,alibi direction
产权,串謀以欺騙手段促致有價產權書的簽立,串谋以欺骗手段促致有价产权书的签立,conspiracy to procure the execution of valuable securities by deception
视像,會面視像紀錄,会面视像纪录,video recorded interview
移交,將案件移交……,将案件移交……,remit the case
,移交命令完備,移交命令完备,the transfer order ... perfected
移审,移審令,移审令,order of certiorari
,移審撤銷令,移审撤销令,order of certiorari
第一,第一環節,第一环节,first limb
第二,第二線的抗辯理由,第二线的抗辩理由,second line of defence
,第二環節,第二环节,second limb
粗体,劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis added
,劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis supplied
,劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis added
,劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis supplied
细节,法律上的細節,法律上的细节,legal technicality
组织,有組織罪行,有组织罪行,organized crime
终身,酌情性終身監禁刑罰,酌情性终身监禁刑罚,discretionary life sentence
,強制性終身監禁刑罰,强制性终身监禁刑罚,mandatory life sentence
终结,終結規則,终结规则,finality rule
,權責終結,权责终结,functus officio
聆讯,內庭聆訊,内庭聆讯,hearing in chambers
,公正公開的聆訊,公正公开的聆讯,fair and public hearing
,正式聆訊[相對程序上的爭議],正式聆讯[相对程序上的争议],substantive hearing
,各方出席的聆訊,各方出席的聆讯,inter-partes hearing
,沒收財產聆訊,没收财产聆讯,forfeiture hearing
,訟費評定聆訊,讼费评定聆讯,taxation hearing
,單方面的聆訊,单方面的聆讯,ex parte hearing
,過堂聆訊,过堂聆讯,call over
,暫行聆訊,暂行聆讯,heard de bene esse
处分,紀律處分程序,纪律处分程序,disciplinary proceedings
处心积虑,處心積慮,处心积虑,calculated
处理,分成多宗案件處理,分成多宗案件处理,sever
,分案處理,分案处理,sever
,判罰處理方法,判罚处理方法,sentencing approach
,將案件發還……處理,将案件发还……处理,remit the case
,證物處理表,证物处理表,Exhibits Disposal List
规定,感化令的規定及條件,感化令的规定及条件,requirements and conditions of the probation order
规则,查問疑犯及錄取口供的規則及指示,查问疑犯及录取口供的规则及指示,Rules and Directions for the Questioning of Suspects and the Taking of Statements
,除弊規則,除弊规则,mischief rule
,常規規則,常规规则,rule of practice
,排除(證據)規則,排除(证据)规则,exclusionary rule
,終結規則,终结规则,finality rule
,補缺規則,补缺规则,mischief rule
,關於法院慣例的規則,关于法院惯例的规则,rule of practice
,釋義規則,释义规则,rules of construction
规程,法官規程,法官规程,Judges' Rules
许可,上訴許可申請,上诉许可申请,application for leave to appeal
,申請司法覆核的許可,申请司法复核的许可,application for leave to apply for judicial review
讼案,刑事訟案及事宜,刑事讼案及事宜,criminal causes and matters
讼费,上訴的訟費,上诉的讼费,costs on appeal
,判被告人繳付的訟費,判被告人缴付的讼费,costs awarded against the defendant
,判給訟費,判给讼费,award of costs
,按彌償基準計算的訟費,按弥偿基准计算的讼费,costs on an indemnity basis
,訟費,讼费,costs
,訟費評定聆訊,讼费评定聆讯,taxation hearing
,訟費隨結果而定,讼费随结果而定,costs to follow the event
,虛耗訟費命令,虚耗讼费命令,wasted costs orders
,暫准訟費命令,暂准讼费命令,costs order nisi
,覆核訟費的評定,复核讼费的评定,review of taxation of costs
,辯方訟費,辩方讼费,defence costs
讼辩,法官加入控辯雙方的訟辯,法官加入控辩双方的讼辩,judge entering the arena
讼辩人,訟辯人,讼辩人,advocate
脗合,輔助性或脗合性的證供,辅助性或脗合性的证供,supporting or corroborative evidence
贩毒,社交性質的販毒,社交性质的贩毒,social trafficking
,商業性質的販毒,商业性质的贩毒,commercial trafficking
责任,反向的舉證責任,反向的举证责任,reverse burden
,反駁的責任,反驳的责任,burden of rebuttal
,倒轉舉證責任,倒转举证责任,reversing onus of proof
,倒轉舉證責任的條文,倒转举证责任的条文,reverse-onus provision
,履行責任令,履行责任令,order of mandamus
,舉證責任……轉移至,举证责任……转移至,burden of proof ... shifted
,舉證責任在於控方,举证责任在于控方,burden on prosecution
,轉承責任,转承责任,vicarious responsibility
,證供責任,证供责任,evidential burden
,證據舉證責任,证据举证责任,evidential onus
贯彻,貫徹立法的目的,贯彻立法的目的,promote the objects of the statute
贪污,貪污,贪污,corruption
赦免,行政機關給予赦免,行政机关给予赦免,executive clemency
通知,上訴通知,上诉通知,notice of appeal
,不在犯罪現場的通知,不在犯罪现场的通知,notice of alibi
,放棄上訴通知,放弃上诉通知,notice of abandonment
通知书,上訴通知書,上诉通知书,notice of appeal
,申請剔除上訴通知書,申请剔除上诉通知书,application to strike out notice of appeal
,承認事實通知書,承认事实通知书,notice to admit facts
,動議通知書,动议通知书,notice of motion
,擬檢控通知書,拟检控通知书,notice of intention to prosecute
,擬檢控通知書,拟检控通知书,notice of the intended prosecution
通常,已為人接受的通常做法,已为人接受的通常做法,accepted norm
逗留,違反逗留條件,违反逗留条件,breach of condition of stay
,逾期逗留,逾期逗留,overstaying
连锁,因果連鎖,因果连锁,chain of causation
,證據的連鎖性,证据的连锁性,chain of evidence
连系,連繫,连系,nexus
造成,襲擊他人致造成身體傷害,袭击他人致造成身体伤害,assault occasioning actual bodily harm
部分,牽連罪責部分,牵连罪责部分,incriminating part
,部分分期執行的刑期,部分分期执行的刑期,partially consecutive sentences
,開脫罪責部分,开脱罪责部分,exculpatory part
,導致入罪部分,导致入罪部分,incriminating part
陪审员,反對陪審員人選,反对陪审员人选,challenge of jurors
陪审团,不存偏見且得到妥善指引的陪審團,不存偏见且得到妥善指引的陪审团,unprejudiced jury properly directed
,合理的陪審團,合理的陪审团,reasonable jury
,法官對陪審團的結案指引,法官对陪审团的结案指引,summing up direction
,陪審團的裁決,陪审团的裁决,jury verdict
,陪審團退庭商議,陪审团退庭商议,jury retirement
,經恰當指引的陪審團,经恰当指引的陪审团,properly directed jury
陈述,口頭陳述,口头陈述,oral statement
,互相矛盾的事實陳述,互相矛盾的事实陈述,contradictory statements of fact
,先前一貫陳述,先前一贯陈述,previous consistent statement
,在法院以外作出的陳述,在法院以外作出的陈述,out-of-court statement
,具欺詐成分的失實陳述,具欺诈成分的失实陈述,fraudulent misrepresentation
,法庭以外陳述,法庭以外陈述,extra-judicial statement
,無損權益的陳述,无损权益的陈述,non-prejudicial statement
,罪行的陳述,罪行的陈述,statement of offence
陈述书,理由陳述書,理由陈述书,statement of reasons
陈词,主要陳詞,主要陈词,principal submission
,明顯欠缺論據的陳詞,明显欠缺论据的陈词,patently unarguable submission
,控方開審陳詞,控方开审陈词,prosecution opening
,陳詞大綱,陈词大纲,skeleton submission
,陳詞綱領,陈词纲领,skeleton submission
,結案陳詞,结案陈词,closing address
,開審陳詞,开审陈词,opening address
